4 8 흑
5 6 백
6 4 흑
5 7 백
2 7 흑
5 8 백
7 3 흑
5 4 백

2021/04/18 13:17:21
1 1 흑
5 5 백
4 8 흑
5 6 백
6 4 흑
5 7 백
2 7 흑
5 8 백
7 3 흑
5 4 백

2021/04/18 13:17:22
1 1 흑
5 5 백
4 8 흑
5 6 백
6 4 흑
5 7 백
2 7 흑
5 8 백
7 3 흑
5 4 백

2021/04/18 13:18:04
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:18:05
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:18:06
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:18:07
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:18:08
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:18:09
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:18:10
1 1 흑
5 5 백
3 1 흑
6 5 백
6 5 흑
7 6 백
8 8 흑
6 8 백
11 9 흑
5 7 백
11 8 흑
4 6 백
14 10 흑
7 9 백
14 9 흑
3 5 백

2021/04/18 13:22:46
1 1 흑
5 5 백
2 1 흑
5 6 백
2 1 흑
6 6 백
2 1 흑
5 7 백
2 1 흑
5 4 백
2 1 흑
5 3 백

2021/04/18 13:22:47
1 1 흑
5 5 백
2 1 흑
5 6 백
2 1 흑
6 6 백
2 1 흑
5 7 백
2 1 흑
5 4 백
2 1 흑
5 3 백

2021/04/18 13:22:48
1 1 흑
5 5 백
2 1 흑
5 6 백
2 1 흑
6 6 백
2 1 흑
5 7 백
2 1 흑
5 4 백
2 1 흑
5 3 백

2021/04/18 13:22:49
1 1 흑
5 5 백
2 1 흑
5 6 백
2 1 흑
6 6 백
2 1 흑
5 7 백
2 1 흑
5 4 백
2 1 흑
5 3 백

2021/04/18 13:25:39
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
7 6 흑
4 5 백

2021/04/18 13:25:39
1 1 흑
5 5 백
3 6 흑
6 5 백
6 7 흑
7 5 백
6 7 흑
8 5 백
