14 1 흑
10 6 백
12 3 흑
11 6 백
13 2 흑
12 6 백
15 1 흑
8 6 백

2021/04/19 07:43:12
11 11 흑
11 10 백
12 12 흑
9 9 백
13 13 흑
14 14 백
13 14 흑
10 9 백
14 15 흑
9 8 백
15 11 흑
12 11 백
15 12 흑
8 7 백

2021/04/19 07:43:17
12 2 흑
9 5 백
13 2 흑
10 6 백
14 2 흑
11 2 백
15 2 흑
11 7 백
10 3 흑
8 4 백
11 3 흑
7 3 백

2021/04/19 07:45:07
1 1 흑
5 5 백
3 1 흑
6 5 백
2 4 흑
5 6 백
5 1 흑
6 6 백
7 1 흑
6 1 백
9 1 흑
7 6 백
8 4 흑
4 6 백
11 1 흑
3 6 백

2021/04/19 07:47:25
1 15 흑
5 11 백
3 14 흑
5 10 백
4 15 흑
6 10 백
1 14 흑
5 9 백
2 15 흑
5 12 백
3 15 흑
5 8 백

2021/04/19 07:53:33
2 5 흑
5 5 백
2 4 흑
5 6 백
4 6 흑
6 5 백
1 1 흑
7 5 백
3 2 흑
4 5 백
1 4 흑
3 5 백

2021/04/19 08:11:18
15 15 흑
11 11 백
14 14 흑
10 11 백
14 13 흑
9 11 백
15 14 흑
12 11 백
13 10 흑
8 11 백

2021/04/19 08:13:42
2 3 흑
5 6 백
4 6 흑
6 5 백
3 5 흑
6 7 백
5 7 흑
6 8 백
5 8 흑
6 6 백
3 4 흑
6 4 백

2021/04/19 08:18:03
3 15 흑
7 11 백
3 14 흑
6 10 백
2 13 흑
5 9 백
5 15 흑
8 12 백
4 15 흑
4 8 백

2021/04/19 08:18:09
15 15 흑
11 11 백
14 14 흑
11 10 백
13 13 흑
10 11 백
15 14 흑
10 10 백
13 12 흑
11 9 백
14 13 흑
11 12 백
13 5 흑
11 8 백

2021/04/19 08:18:36
2 3 흑
5 6 백
4 6 흑
6 5 백
3 5 흑
6 7 백
5 7 흑
6 8 백
5 8 흑
6 6 백
3 4 흑
6 4 백

2021/04/19 08:18:56
15 15 흑
11 11 백
14 14 흑
11 10 백
13 13 흑
10 11 백
15 14 흑
10 10 백
13 12 흑
11 9 백
14 13 흑
11 12 백
13 5 흑
11 8 백

2021/04/19 08:20:08
2 3 흑
5 6 백
4 6 흑
6 5 백
3 5 흑
6 7 백
5 7 흑
6 8 백
5 8 흑
6 6 백
3 4 흑
6 4 백

2021/04/19 08:20:13
3 15 흑
7 11 백
3 14 흑
6 10 백
2 13 흑
5 9 백
5 15 흑
8 12 백
4 15 흑
4 8 백

2021/04/19 08:30:53
13 8 흑
11 8 백
15 9 흑
11 7 백
14 8 흑
10 7 백
15 10 흑
11 6 백
13 7 흑
11 9 백
12 6 흑
11 5 백

2021/04/19 08:31:01
10 14 흑
10 11 백
12 15 흑
11 11 백
11 15 흑
11 10 백
10 15 흑
9 15 백
9 14 흑
10 10 백
10 12 흑
11 9 백
8 13 흑
11 12 백
7 12 흑
11 8 백

2021/04/19 08:58:50
7 7 흑
7 8 백
8 7 흑
8 6 백
8 2 흑
10 7 백
9 2 흑
10 8 백
10 3 흑
11 8 백
11 3 흑
9 8 백
11 4 흑
8 8 백

2021/04/19 13:19:55
15 1 흑
8 8 백
7 7 흑
8 7 백
8 6 흑
7 6 백
6 5 흑
6 8 백
9 8 흑
9 7 백
6 9 흑
7 9 백
5 8 흑
6 10 백
5 11 흑
11 5 백
10 4 흑
10 5 백
9 5 흑
12 6 백
13 7 흑
12 8 백
12 7 흑
13 8 백
11 7 흑
11 8 백
14 8 흑
14 9 백
11 3 흑

2021/04/20 04:09:52
9 7 흑
8 8 백
10 8 흑
8 6 백
7 6 흑
8 7 백
9 10 흑
8 9 백
6 9 흑
7 8 백
5 7 흑
7 7 백
6 7 흑
6 8 백
9 5 흑
9 6 백
6 10 흑
7 9 백
5 6 흑
6 6 백
7 10 흑
9 9 백
6 11 흑
8 10 백

2021/04/20 15:24:47
6 9 흑
8 8 백
10 8 흑
9 9 백
6 10 흑
7 7 백
5 8 흑
6 6 백
10 9 흑
9 10 백
8 10 흑
9 11 백
8 6 흑
9 7 백
5 10 흑
8 9 백
9 8 흑
8 7 백
5 7 흑
6 7 백
8 11 흑
10 11 백
7 6 흑
7 8 백

2021/04/21 20:46:46
9 9 흑
3 7 백
9 7 흑
4 8 백
7 5 흑
5 9 백
9 8 흑
6 10 백
7 10 흑
7 11 백

2021/04/23 07:28:03
8 8 흑
7 8 백
9 9 흑
7 7 백
8 9 흑
7 9 백
10 8 흑
7 10 백
9 8 흑
11 8 백
7 6 흑
9 7 백
11 7 흑
12 6 백
12 9 흑
11 9 백
10 5 흑
10 6 백
11 6 흑
9 6 백
6 11 흑
8 11 백
10 9 흑
10 10 백
7 5 흑
8 5 백
6 3 흑
7 3 백
4 11 흑
5 11 백
11 5 흑
12 5 백
4 7 흑
5 7 백
11 3 흑
12 3 백
5 4 흑
6 4 백
5 12 흑
6 12 백
10 4 흑
11 4 백
11 2 흑
12 2 백
12 8 흑
13 8 백
10 11 흑
11 11 백
7 13 흑
8 13 백
6 2 흑
7 2 백
2 12 흑
3 12 백
11 10 흑
12 10 백
